animal,learner,pair,cond,area,unit,contrib
52,1,CA1-RSC,uncued,CA1,35,0.243165
52,1,CA1-RSC,uncued,CA1,36,0.69167
52,1,CA1-RSC,uncued,CA1,37,0.326166
52,1,CA1-RSC,uncued,CA1,38,0.077867
52,1,CA1-RSC,uncued,CA1,39,0.19658
52,1,CA1-RSC,uncued,CA1,40,0.127686
52,1,CA1-RSC,uncued,CA1,41,0.105433
52,1,CA1-RSC,uncued,CA1,42,0.652046
52,1,CA1-RSC,uncued,CA1,43,0.077816
52,1,CA1-RSC,uncued,CA1,44,0.111188
52,1,CA1-RSC,uncued,CA1,45,0.611574
52,1,CA1-RSC,uncued,CA1,46,0.020988
52,1,CA1-RSC,uncued,CA1,47,0.034445
52,1,CA1-RSC,uncued,CA1,48,0.040476
52,1,CA1-RSC,uncued,CA1,49,0.779815
52,1,CA1-RSC,uncued,CA1,50,0.02827
52,1,CA1-RSC,uncued,CA1,51,0.024279
52,1,CA1-RSC,uncued,CA1,52,0.013969
52,1,CA1-RSC,uncued,CA1,53,0.092748
52,1,CA1-RSC,uncued,CA1,54,0.445985
52,1,CA1-RSC,uncued,CA1,55,0.124354
52,1,CA1-RSC,uncued,CA1,56,0.017467
52,1,CA1-RSC,uncued,RSC,0,1.237147
52,1,CA1-RSC,uncued,RSC,1,1.094797
52,1,CA1-RSC,uncued,RSC,2,0.96863
52,1,CA1-RSC,uncued,RSC,3,1.051481
