family,metric,cell,contrast,n,med_delta,t_p,w_p
pooled,rho_pooled_tune,CA1,intermediate-naive,12,0.1508,0.12973,0.17627
pooled,rho_pooled_tune,CA1,expert-intermediate,12,-0.1298,0.12773,0.2334
pooled,rho_pooled_tune,CA3,expert-naive,5,-0.1691,0.4819,0.8125
pooled,rho_pooled_tune,CA3,intermediate-naive,5,-0.0042,0.3388,0.625
pooled,rho_pooled_tune,CA3,expert-intermediate,5,0.1971,0.4697,0.625
pooled,rho_pooled_tune,DG,expert-naive,8,0.0261,0.95636,0.84375
pooled,rho_pooled_tune,DG,intermediate-naive,8,-0.0306,0.81914,0.94531
pooled,rho_pooled_tune,DG,expert-intermediate,8,0.0202,0.84332,1.0
pooled,rho_pooled_tune,SUB,expert-naive,4,0.2577,0.38647,0.625
pooled,rho_pooled_tune,SUB,intermediate-naive,4,0.1623,0.39147,0.625
pooled,rho_pooled_tune,SUB,expert-intermediate,4,-0.1783,0.75482,0.875
pooled,rho_pooled_tune,RSC,expert-naive,8,-0.0025,0.75766,0.94531
pooled,rho_pooled_tune,RSC,intermediate-naive,8,0.035,0.19443,0.3125
pooled,rho_pooled_tune,RSC,expert-intermediate,8,-0.0553,0.36293,0.46094
pooled,rho_pooled_tune,V1,expert-naive,10,0.1483,0.27517,0.13086
pooled,rho_pooled_tune,V1,intermediate-naive,10,0.1208,0.2148,0.19336
pooled,rho_pooled_tune,V1,expert-intermediate,10,0.0241,0.72554,0.625
pooled,rho_pooled_tune_ratepart,CA1,expert-naive,12,0.0264,0.97713,0.8501
pooled,rho_pooled_tune_ratepart,CA1,intermediate-naive,12,0.08,0.11596,0.15137
pooled,rho_pooled_tune_ratepart,CA1,expert-intermediate,12,-0.0469,0.17132,0.26611
pooled,rho_pooled_tune_ratepart,CA3,expert-naive,5,0.1208,0.41004,0.8125
pooled,rho_pooled_tune_ratepart,CA3,intermediate-naive,5,-0.3225,0.27392,0.1875
pooled,rho_pooled_tune_ratepart,CA3,expert-intermediate,5,0.158,0.7663,0.625
